AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
SDSSJ135341.03+361948.0,6642,x,0,"('208.42083', '36.33')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.147,PL,FALSE,FALSE,FALSE,6642,"6600, 6720",233pm8,7.37E13 pm 3.53E12,32.2pm 3.3,done,center is 6660 : NO GALAXIES
MRK1014,5694,KUG0156-001,1,"('29.95917', '0.39472')","(29.79728, 0.10978)",2.47E-05,1.35E-10,141.0794316,94.86259537,446.1410499,x,5538,-156,78.0001575,x,20.8,16.8,35.9,18,11.6,0,x,x,x,Compact,Compact,0.01937,0.163,SP,TRUE,TRUE,TRUE,5694,"5604, 5706",45pm9,8.84E12 pm 1.92E12,35.3pm 2.3,d:Lya,"center is 5655, extremely weak : ONLY 1 GALAXY"
MRK1014,7080,NGC0768,2,"('29.95917', '0.39472')","(29.67056, 0.52922)",0.001719091,0.00870688,253.3839055,338.8085831,486.1589792,x,6752.3,-327.7,87.483,x,48.6,14.5,72.6,x,85,NGC768,.SBR4*.,61.4,30,SB(r)bc:,SB(r)bc:,0.023419,0.163,SP,TRUE,TRUE,TRUE,7080,"6984, 7144",117pm11,2.46E13 pm 2.54E12,49.0pm 3.1,d:Lya,"center is 7064, IC1761 companion; p"
MRK1014,7563,SDSSJ020017.78+003715.5,1,"('29.95917', '0.39472')","(30.07412, 0.62098)",1.93E-07,1.39E-21,121.7484398,68.85950915,476.5102478,x,7638.2,75.2,107.5800139,x,16.8,6.6,67,148,58.9,0,x,x,x,x,x,0.026371,0.163,SP,TRUE,TRUE,TRUE,7563,"7466, 7658",416pm10,1.58E14 pm 6.54E12,46.3pm 1.9,d:Lya,"center is 7562, strong, but far away from galaxy; p : ONLY 1 GALAXY"
MRK1014,8421,x,0,"('29.95917', '0.39472')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.163,SP,FALSE,FALSE,FALSE,8421,"8356, 8488",169pm11,3.98E13 pm 3.05E12,39.3pm 2.4,d:Lya,center is 8422 : NO GALAXIES
RX_J1503.2+6810,7205,x,0,"('225.81875', '68.16833')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.114,SP,FALSE,FALSE,FALSE,7205,"7124, 7264",180pm16,4.11E13 pm 4.49E12,43.1pm 3.0,Lya,"Lya marked at 7205, center is 7194 : NEEDS TO BE IDENTIFIED : NO GALAXIES"
RX_J1503.2+6810,8231,x,0,"('225.81875', '68.16833')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.114,SP,FALSE,FALSE,FALSE,8231,"8208, 8256",29pm10,6.20E12 pm 2.21E12,13.3pm 4.1,no,"weak, center is 8232 : NEEDS TO BE IDENTIFIED : NO GALAXIES"
RX_J1503.2+6810,8835,x,0,"('225.81875', '68.16833')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.114,SP,FALSE,FALSE,FALSE,8835,"8746, 8894",266pm15,7.45E13 pm 5.61E12,43.1pm 3.1,Lya,"Lya marked at 8845, center is 8820, blended : NEEDS TO BE IDENTIFIED : NO GALAXIES"
RX_J1503.2+6810,10122,CGCG318-012,1,"('225.81875', '68.16833')","(225.56167, 68.26181)",0.060668263,0.248197006,249.7749021,328.4055054,325.4494668,x,9911.8,-210.2,139.60269,x,47.6,30.5,50.2,135,0.6,0,x,x,x,x,x,0.032573,0.114,SP,TRUE,TRUE,TRUE,10122,"10080, 10170",44pm14,8.89E12 pm 2.98E12,29.4pm 5.1,Lya,center is 10127 : NEEDS TO BE IDENTIFIED : ONLY 1 GALAXY
PG1302-102,1313,MCG-02-34-006,3,"('196.3875', '-10.55556')","(197.44792, -10.32)",4.09E-05,1.40E-11,132.056154,82.16610615,404.9237794,x,1480.7,167.7,21.700001,x,18.9,15.8,33.6,x,x,0,x,x,x,SAB(s)d:       Sy2,SAB(s)d:       Sy2,0.004037,0.2784,SP,FALSE,FALSE,FALSE,1313,"1242, 1394",322pm7,1.22E14 pm 4.52E12,35.8pm 2.4,"Lya, d:Lya","Lya labeled at 1313, d:Lya at 1314, center is 1318 : VIRIAL AND CUSTOM INCLUDE MISMATCH"
PG1302-102,3448,NGC4939,1,"('196.3875', '-10.55556')","(196.05996, -10.33961)",0.253120756,0.773821071,235.4681607,288.883113,264.7658706,x,3381.8,-66.2,39.118,x,43.7,30.1,46.4,5,61.2,NGC4939,.SAS4..,59.1,10,SA(s)bc        Sy2,SA(s)bc        Sy2,0.010374,0.2784,SP,TRUE,TRUE,TRUE,3448,"3402, 3492",71pm5,1.47E13 pm 1.24E12,29.7pm 2.5,"d:Lya, OVI","marked both d:Lya at 3447 and OVI at 3448 - definitely could be OVI, but there's no OVIb, center is 3447; p : ONLY 1 GALAXY"
PG1302-102,5683,x,0,"('196.3875', '-10.55556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.2784,SP,FALSE,FALSE,FALSE,5683,"5635, 5745",46pm6,9.10E12 pm 1.19E12,37.7pm 2.9,"Lya, d:NV","Lya labeled at 5683, d:NV at 5694, center is 5690 : NO GALAXIES"
PG1302-102,5856,x,0,"('196.3875', '-10.55556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.2784,SP,FALSE,FALSE,FALSE,5856,"5820, 5892",54pm4,1.11E13 pm 9.80E11,24.7pm 1.9,d:Lya,"weak, center is 5856 : NO GALAXIES"
PG1302-102,5972,x,0,"('196.3875', '-10.55556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.2784,SP,FALSE,FALSE,FALSE,5972,"5945, 5999",29pm4,5.71E12 pm 8.30E11,18.6pm 2.1,d:Lya,"MgII labeled at 5981.5, center is 5972 : NO GALAXIES"
PG1302-102,6092,x,0,"('196.3875', '-10.55556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.2784,SP,FALSE,FALSE,FALSE,6092,"6026, 6150",37pm6,7.13E12 pm 1.22E12,43.6pm 2.5,d:Lya,"MgII labeled at 6097.3, d:Lya labeled at 6098, center is 6088 : NO GALAXIES"
PG1302-102,6597,x,0,"('196.3875', '-10.55556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.2784,SP,FALSE,FALSE,FALSE,6597,"6558, 6636",58pm5,1.20E13 pm 1.06E12,26.8pm 1.7,"Lya, d:Lya","Lya labeled at 6597, d:Lya at 6572, AGN-Ol labeled at 6559.6, center is 6597 : NO GALAXIES"
PG1302-102,7576,PKS1302-102:[CPC2008]1027,1,"('196.3875', '-10.55556')","(196.49167, -10.41389)",-99,-99,-99,-99,336.4626924,x,7829.3,253.3,110.2720804,x,x,x,x,x,x,0,x,x,x,x,x,0.02521,0.2784,SP,TRUE,TRUE,TRUE,7576,"7542, 7610",37pm4,7.57E12 pm 8.99E11,21.2pm 2.7,"Lya, d:Lya","Lya labeled at 7576, d:Lya at 7573, center is 7576 : ONLY 1 GALAXY"
PG1302-102,9856,x,0,"('196.3875', '-10.55556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.2784,SP,FALSE,FALSE,FALSE,9856,"9825, 9885",35pm4,6.98E12 pm 8.36E11,21.5pm 1.8,d:Lya,"d:Lya labeled at 9837, SII labeled 9766, center is 9855 : NO GALAXIES"
SBS1108+560,732,UGC06225,3,"('167.88375', '55.79028')","(167.87904, 55.67411)",0.888081863,0.892199662,228.3555832,270.2492035,29.04206628,x,910.4,178.4,14.32,x,41.8,9.2,77.3,83,81.7,NGC3556,.SBS6./,75.1,80,SB(s)cd        HII,SB(s)cd        HII,0.002332,0.765,DG,TRUE,TRUE,TRUE,732,"529, 885",1082pm82,2.07E14 pm 3.34E13,136.9pm 2.8,d:Lya,"d:Lya marked at 732, center is 707"
SBS1108+560,929,UGC06225,3,"('167.88375', '55.79028')","(167.87904, 55.67411)",1.950964074,1.960010175,228.3555832,270.2492035,29.04206628,x,910.4,-18.6,14.32,x,41.8,9.2,77.3,83,81.7,NGC3556,.SBS6./,75.1,80,SB(s)cd        HII,SB(s)cd        HII,0.002332,0.765,DG,TRUE,TRUE,TRUE,929,"895, 1017",284pm51,5.69E13 pm 1.78E13,46.1pm 1.8,d:Lya,"d:Lya marked at 929, center is 956"
SBS1108+560,5417,x,0,"('167.88375', '55.79028')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.765,DG,FALSE,FALSE,FALSE,5417,"5408, 5490",150pm40,3.43E13 pm 1.31E13,29.8pm 2.3,d:Lya,"d:Lya marked at 5417, center is 5449 : NO GALAXIES"
PG1216+069,1903,NGC4260,21,"('184.83708', '6.64389')","(184.84267, 6.09868)",0.001481514,0.002188253,208.3540511,221.4224379,384.4546253,x,2255.7,352.7,40.4,x,36.6,17.6,61.3,45,45.6,NGC4260,.SBS1..,59.9,58,SB(s)a;Sy      LINER,SB(s)a;Sy      LINER,0.006531,0.3313,SP,?,FALSE,TRUE,1903,"1461, 2345",2269pm33,1.11E15 pm 2.79E13,230.0pm 3.6,"d:Lya, Lya","DLA, bit far away, 1125, 1449, 2971, and 3040 Lya and AGN-Ly series markers over nothing, near NGC4260 & many other galaxies, center is 1903; p : VIRIAL AND CUSTOM INCLUDE MISMATCH"
PG1216+069,3813,SDSSJ121903.72+063342.9,1,"('184.83708', '6.64389')","(184.76552, 6.56194)",0.007219862,2.28E-13,71.06873748,21.36663287,110.1638657,x,4131,318,58.18263304,x,7.7,3.7,61.3,156,64.9,0,x,x,x,x,x,0.012787,0.3313,SP,TRUE,TRUE,TRUE,3813,"3692, 3934",360pm10,9.78E13 pm 3.17E12,62.7pm 2.3,"Lya, d:Lya","Lya labeled at 3775, 3812, d:Lya labeled at 3797, center is 3797 : ONLY 1 GALAXY"
PG1216+069,5674,x,0,"('184.83708', '6.64389')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.3313,SP,FALSE,FALSE,FALSE,5674,"5620, 5756",136pm8,2.92E13 pm 1.85E12,47.4pm 2.3,d:Lya,"d:Lya labeled at 5674, blended with Clll - not likely, there are no other metal lines in this system, center is 5688 : NO GALAXIES"
PG1216+069,7178,x,0,"('184.83708', '6.64389')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.3313,SP,FALSE,FALSE,FALSE,7178,"7104, 7252",159pm8,3.69E13 pm 2.08E12,42.1pm 2.4,"Lya, d:Lya","Lya labeled at 7178, d:Lya at 7176, center is 7178 : NO GALAXIES"
IRAS_Z06229-6434,1279,x,0,"('95.78208', '-64.60528')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.1289,SP,FALSE,FALSE,FALSE,1279,"1235, 1325",64pm7,1.31E13 pm 1.59E12,30.3pm 2.3,d:Lya,"center is 1280, only HIPASSJ0608-63 at 1554 km/s with b = 736 kpc : NO GALAXIES"
IRAS_Z06229-6434,3689,x,0,"('95.78208', '-64.60528')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.1289,SP,FALSE,FALSE,FALSE,3689,"3595, 3755",284pm6,8.98E13 pm 2.51E12,39.0pm 2.6,d:Lya,"center is 3675, no galaxies within 1000 km/s and 800 km/s : NO GALAXIES"
SDSSJ080908.13+461925.6,2281,UGC04260,2,"('122.28375', '46.32389')","(122.78651, 46.4654)",0.00018021,1.42E-35,75.46623913,24.34551293,217.6633981,x,2391,110,33.299999,x,8.4,3.5,65.2,110,42.2,UGC4260,.I..9*.,24.2,-99,Im:,Im:,0.007519,0.6563,SP,FALSE,FALSE,FALSE,2281,"2228, 2336",85pm12,1.79e13 pm 2.85E12,33.1pm 2.7,d:Lya,"d:Lya marked at 2281, center is 2282 : VIRIAL AND CUSTOM INCLUDE MISMATCH"
SDSSJ080908.13+461925.6,3122,x,0,"('122.28375', '46.32389')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.6563,SP,FALSE,FALSE,FALSE,3122,"3040, 3174",207pm12,5.51E13 pm 3.92E12,37.1pm 2.2,d:Lya,"d:Lya marked at 3122, center is 3107. UGC04258 is at correct velocity, but b = 693 kpc : NO GALAXIES"
SDSSJ080908.13+461925.6,3205,x,0,"('122.28375', '46.32389')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.6563,SP,FALSE,FALSE,FALSE,3205,"3174, 3272",72pm11,1.49E13 pm 2.57E12,38.3pm 2.0,d:Lya,"d:Lya marked at 3205, center is 3223. UGC04258 is at correct velocity, but b = 693 kpc : NO GALAXIES"
SDSSJ080908.13+461925.6,5977,x,0,"('122.28375', '46.32389')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.6563,SP,FALSE,FALSE,FALSE,5977,"5944, 6010",49pm9,1.02E13 pm 1.95E12,23.2pm 2.4,d:Lya,"possibly blended with MgII, center is 5977 : NO GALAXIES"
SDSSJ080908.13+461925.6,6774,x,0,"('122.28375', '46.32389')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.6563,SP,FALSE,FALSE,FALSE,6774,"6668, 6864",543pm10,2.55E14 pm 1.41E13,55.9pm 1.8,d:Lya,"d:Lya labeled at 6774, center is 6766. This galaxy is ~500km/s away, and MCG+08-15-040 has correct velocity but b = 734 : NO GALAXIES"
SDSSJ080908.13+461925.6,6900,SDSSJ080842.74+461828.9,1,"('122.28375', '46.32389')","(122.17811, 46.30809)",0.013142969,3.28E-05,103.0851275,47.95798161,132.6306394,x,7227.2,327.2,101.791107,x,13.2,10.6,36.9,74,3.8,0,x,x,x,x,x,0.023656,0.6563,SP,TRUE,TRUE,TRUE,6900,"6864, 6970",151pm10,3.54E13 pm 2.81E12,38.6pm 2.6,d:Lya,"d:Lya labeled at 6900, center is 6917 : ONLY 1 GALAXY"
SDSSJ080908.13+461925.6,7117,SDSSJ080842.74+461828.9,1,"('122.28375', '46.32389')","(122.17811, 46.30809)",0.141003105,0.000351986,103.0851275,47.95798161,132.6306394,x,7227.2,110.2,101.791107,x,13.2,10.6,36.9,74,3.8,0,x,x,x,x,x,0.023656,0.6563,SP,TRUE,TRUE,TRUE,7117,"7024, 7180",176pm12,4.06E13 pm 3.26E12,50.5pm 3.7,d:Lya,"d:Lya labeled at 7117, center is 7102 : ONLY 1 GALAXY"
TON1009,1961,NGC2770,5,"('137.27542', '32.60861')","(137.39045, 33.12353)",0.072366885,0.082646559,204.4092283,212.4100186,274.0148385,x,2143.1,182.1,29.967,x,35.6,7.3,78.1,x,42.7,NGC2770,.SAS5*.,72.4,148,SA(s)c:,SA(s)c:,0.006494,0.809,RT,TRUE,TRUE,TRUE,1961,"1854, 2048",350pm21,1.05E14 pm 8.11E12,55.0pm3.5,Lya,"Lya labeled at 1961 _ I measure 1951, looks blended"
TON1009,3792,KUG0906+333ANED01,2,"('137.27542', '32.60861')","(137.33077, 33.12324)",2.52E-11,1.07E-51,100.9194509,45.79467218,495.4975368,x,3900.9,108.9,54.94195498,x,12.8,5.6,64.1,x,x,0,x,x,x,x,x,0.012359,0.809,RT,FALSE,FALSE,FALSE,3792,"3750, 3832",132pm12,3.44E13 pm 3.81E12,26.3pm 2.5,Lya,Lya labeled at 3792 _ I measure 3791. Ambigous : VIRIAL AND CUSTOM INCLUDE MISMATCH
TON1009,4285,IC2439,4,"('137.27542', '32.60861')","(137.16024, 32.59295)",0.403347412,0.268201585,153.4747113,113.9204766,108.5992962,x,4494.8,209.8,63.30638611,x,23.5,7.5,71.3,30,50.8,MCG6-20-32,.L?....,-99,-99,S0?,S0?,0.01434,0.809,RT,TRUE,TRUE,TRUE,4285,"4200, 4390",343pm17,1.26E14 pm 1.06E13,42.1pm 3.5,Lya,"Lya labeled at 4285 _ I measure 4295, loose galaxy group"
TON1009,7915,x,0,"('137.27542', '32.60861')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.809,RT,FALSE,FALSE,FALSE,7915,"7870, 7960",72pm16,1.49E13 pm 3.66E12,31.5pm 3.1,Lya,"Lya labeled at 7944 _ I see two separate lines, at 7915 & 7995 : NO GALAXIES"
TON1009,7995,x,0,"('137.27542', '32.60861')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.809,RT,FALSE,FALSE,FALSE,7995,"7960, 8030",66pm13,1.45E13 pm 3.16E12,26.0pm 1.4,Lya,"Lya labeled at 7944 _ I see two separate lines, at 7915 & 7995 : NO GALAXIES"
RX_J1330.8+3119,1740,SDSSJ133025.22+304141.9,11,"('202.72167', '31.32556')","(202.60509, 30.69498)",2.73E-75,0,25.0616555,2.216528818,325.6855514,x,2075.2,335.2,29.22781275,x,1.7,0.8,62.6,105,84,0,x,x,x,Extended Src [SDSS],Extended Src [SDSS],0.006,0.241,DG,FALSE,FALSE,FALSE,1740,"1654, 1810",153pm18,3.35E13 pm 4.54E12,53.7pm 2.3,f:Lya,"f:Lya labeled at 1740, I measure 1732 : VIRIAL AND CUSTOM INCLUDE MISMATCH"
RX_J1330.8+3119,2654,RCS05100405241,1,"('202.72167', '31.32556')","(202.1176, 30.6804)",-99,-99,-99,-99,483.11576,x,2375.8,-278.2,33.46156499,x,x,x,x,x,x,0,x,x,x,x,x,0.007,0.241,DG,TRUE,TRUE,TRUE,2654,"2560, 2764",423pm17,1.56E14 pm 1.12E13,49.8pm 2.9,f:Lya,"f:Lya labeled at 2654, center is 2662. This galaxy is tiny, far away, and has no info (phot redshifts also).  : ONLY 1 GALAXY"
RX_J1330.8+3119,2822,x,0,"('202.72167', '31.32556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.241,DG,FALSE,FALSE,FALSE,2822,"2779, 2865",58pm13,1.19E13 pm 2.93E12,36.8pm 3.4,no,"Not marked, possibly weak Lya. This galaxy is tiny, far away, and has no info (phot redshifts also). Center is 2822 : NO GALAXIES"
RX_J1330.8+3119,4839,UGC08496NED02,5,"('202.72167', '31.32556')","(202.5724, 31.33278)",0.013850576,8.30E-07,100.9194509,45.79467218,160.2412903,x,5104.2,265.2,71.89071302,x,12.8,6.6,58.7,47,46.2,UGC8496,.S?....,59.1,-99,HII,HII,0.016108,0.241,DG,?,TRUE,FALSE,4839,"4735, 4943",413pm16,1.42E14 pm 9.19E12,51.4pm 2.6,f:Lya,"good. Several other, closer galaxies. Just a bit too ambiguous, center is 4839 : VIRIAL AND CUSTOM INCLUDE MISMATCH"
RX_J1330.8+3119,7401,UGC08492,4,"('202.72167', '31.32556')","(202.52721, 31.38811)",0.008401369,0.010142602,204.0128691,211.5156614,335.4060644,x,7689.2,288.2,108.2987054,x,35.5,34.1,16.2,70,40.6,UGC8492,.S?....,12.2,-99,S0,S0,0.02473,0.241,DG,?,FALSE,TRUE,7401,"7325, 7497",330pm15,1.09E14 pm 7.83E12,45.6pm 2.3,f:Lya,"f:Lya labeled at 7401, center is 7411. Somewhat ambiguous, and totally face on (can't determine azimuth). UGC08498 is b = 580, and is huge : VIRIAL AND CUSTOM INCLUDE MISMATCH"
RX_J1330.8+3119,10180,x,0,"('202.72167', '31.32556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.241,DG,FALSE,FALSE,FALSE,10180,"10046, 10314",817pm13,4.14E14 pm 2.43E13,83.2pm 1.6,f:Lya,"f:Lya labeled at 10191, I measure 10180. I don't have galaxy information out this far : NO GALAXIES"
SDSSJ140428.30+335342.0,1521,x,0,"('211.11792', '33.895')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.549,RT,FALSE,FALSE,FALSE,1521,"1470, 1582",162pm23,4.21E13 pm 7.11E12,30.2pm 3.5,working,center is 1526 : NO GALAXIES
SDSSJ140428.30+335342.0,1717,x,0,"('211.11792', '33.895')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.549,RT,FALSE,FALSE,FALSE,1717,"1634, 1794",349pm24,1.21E14 pm 1.45E13,41.3pm 2.4,working,center is 1714 : NO GALAXIES
SDSSJ140428.30+335342.0,2827,x,0,"('211.11792', '33.895')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.549,RT,FALSE,FALSE,FALSE,2827,"2800, 2856",45pm18,9.51E12 pm 4.13E12,22.3pm 5.3,working,center is 2828 : NO GALAXIES
SDSSJ140428.30+335342.0,4621,x,0,"('211.11792', '33.895')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.549,RT,FALSE,FALSE,FALSE,4621,"4606, 4642",34pm15,7.44E12 pm 3.52E12,11.9pm 4.1,working,center is 4624 : NO GALAXIES
SDSSJ140428.30+335342.0,5769,x,0,"('211.11792', '33.895')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.549,RT,FALSE,FALSE,FALSE,5769,"5712, 5834",314pm21,9.92E13 pm 1.22E13,38.1pm 2.2,working,center is 5773 : NO GALAXIES
SDSSJ140428.30+335342.0,7884,KUG1402+341,2,"('211.11792', '33.895')","(211.12182, 33.95337)",0.166376558,0.170042061,203.6161637,210.6225629,117.5153834,x,8177.5,293.5,115.175796,x,35.4,12.7,68.9,120,63.2,0,x,x,x,Spiral,Spiral,0.026415,0.549,RT,?,FALSE,TRUE,7884,"7745, 8023",889pm28,2.82E14 pm 2.03E13,93.4pm 1.2,working,center is 7884. SDSSJ140425.82+335552.8 is probably a large satellite galaxy : VIRIAL AND CUSTOM INCLUDE MISMATCH
RX_J0714.5+7408,1339,UGC03739,2,"('108.65083', '74.13639')","(109.13343, 75.74151)",1.24E-29,0,58.44741601,13.96824971,475.115241,x,1200.5,-138.5,16.9081605,x,5.8,4.5,38.7,x,x,UGC3739,.I..9*.,39.1,-99,Im:,Im:,0.003736,0.371,SP,FALSE,FALSE,FALSE,1339,"1322, 1374",24pm8,4.64E12 pm 1.66E12,18.7pm 2.7,done,"very weak, center is 1348 : VIRIAL AND CUSTOM INCLUDE MISMATCH"
RX_J0714.5+7408,2555,UGC03730NED02,3,"('108.65083', '74.13639')","(108.58467, 73.47342)",1.99E-07,1.19E-19,123.2444344,70.7121701,458.0276725,x,2809.4,254.4,39.56875494,x,17.1,10.9,50.2,5,3.4,UGC3730,.RING..,58.3,165,Ring,Ring,0.0091,0.371,SP,FALSE,FALSE,FALSE,2555,"2522, 2588",28pm7,5.46E12 pm 1.45E12,23.8pm 3.5,done,"weak, center is 2555 : VIRIAL AND CUSTOM INCLUDE MISMATCH"
RX_J0714.5+7408,2649,UGC03730NED02,3,"('108.65083', '74.13639')","(108.58467, 73.47342)",5.28E-07,3.16E-19,123.2444344,70.7121701,458.0276725,x,2809.4,160.4,39.56875494,x,17.1,10.9,50.2,5,3.4,UGC3730,.RING..,58.3,165,Ring,Ring,0.0091,0.371,SP,?,FALSE,FALSE,2649,"2596, 2714",106pm9,2.26E13 pm 2.12E12,40.0pm 2.0,done,center is 2655 : VIRIAL AND CUSTOM INCLUDE MISMATCH
RX_J0714.5+7408,4074,UGC03717,1,"('108.65083', '74.13639')","(108.31017, 73.84314)",0.063934401,0.069162396,201.6273975,206.1760146,270.6033265,x,4268.8,194.8,50.35,x,34.9,16.8,61.3,115,82.6,UGC3717,.S..4..,68.7,103,Sbc,Sbc,0.01397,0.371,SP,TRUE,TRUE,TRUE,4074,"4030, 4114",58pm7,1.18E13 pm 1.65E12,29.0pm 2.0,done,center is 4072 : ONLY 1 GALAXY
RX_J0714.5+7408,4264,UGC03717,1,"('108.65083', '74.13639')","(108.31017, 73.84314)",0.165001996,0.178494415,201.6273975,206.1760146,270.6033265,x,4268.8,4.8,50.35,x,34.9,16.8,61.3,115,82.6,UGC3717,.S..4..,68.7,103,Sbc,Sbc,0.01397,0.371,SP,TRUE,TRUE,TRUE,4264,"4164, 4354",410pm9,1.70E14 pm 7.19E12,43.8pm 2.6,done,"very likely Lya, but not yet fully identified, center is 4259 : ONLY 1 GALAXY"
RX_J0714.5+7408,5317,x,0,"('108.65083', '74.13639')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.371,SP,FALSE,FALSE,FALSE,5317,"5294, 5380",39pm8,7.55E12 pm 1.57E12,37.0pm 1.9,done,"very weak, center is 5337 : NO GALAXIES"
RX_J0714.5+7408,9558,x,0,"('108.65083', '74.13639')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.371,SP,FALSE,FALSE,FALSE,9558,"9562, 9592",14pm4,2.87E12 pm 8.92E11,9.9pm 4.1,done,"very weak, center is 9577 : NO GALAXIES"
PG1121+423,2392,x,0,"('171.16333', '42.02917')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.234,RT,FALSE,FALSE,FALSE,2392,"2304, 2424",65pm10,1.29E13 pm 2.06E12,49.1pm 1.6,d:Lya,"d:Lya labeled at 2392, I measure 2364. Nothing with b<500kpc : NO GALAXIES"
PG1121+423,2580,x,0,"('171.16333', '42.02917')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.234,RT,FALSE,FALSE,FALSE,2580,"2560, 2648",83pm8,1.79E13 pm 1.86E12,28.7pm 2.8,"d:Lya, Lya","d:Lya labeled at 2599, Lya at 2580, I measure 2604. Nothing with b<500 kpc : NO GALAXIES"
PG1121+423,2700,x,0,"('171.16333', '42.02917')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.234,RT,FALSE,FALSE,FALSE,2700,"2650, 2740",50pm8,9.90E12 pm 1.73E12,32.1pm 2.6,d:Lya,"d:Lya labeled at 2700, I measure 2695. Nothing with b<500kpc : NO GALAXIES"
PG1121+423,2976,x,0,"('171.16333', '42.02917')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.234,RT,FALSE,FALSE,FALSE,2976,"2937, 3037",64pm8,1.32E13 pm 1.85E12,29.8pm 2.7,"d:Lya, Lya","d:Lya labeled at 2998, Lya at 2976, I measure 2987. Nothing with b<500kpc : NO GALAXIES"
